Data Source,Indicator,TA,Series Name,Series Code,Country Name,Country Code,2015,2016,2017,2018,2019
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,EquatorialGuinea,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Eritrea,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Estonia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Eswatini,,1700,1500,1300,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Ethiopia,,2200,2100,2000,1800,1700
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Fiji,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Finland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,France,,500,500,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Gabon,,500,500,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Gambia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Georgia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Germany,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Ghana,,2100,2100,2100,2100,2100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Greece,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Guatemala,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Guinea,,1100,1100,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Guinea-Bissau,,500,500,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Guyana,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Haiti,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Honduras,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Hungary,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Iceland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,India,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Indonesia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Iran(IslamicRepublicof),,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Ireland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Israel,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Italy,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Jamaica,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Japan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Jordan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Kazakhstan,,100,100,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Kenya,,8300,7500,6900,6300,6200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Kuwait,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Kyrgyzstan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,LaoPeople'sDemocraticRepublic,,200,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Latvia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Lebanon,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Lesotho,,1800,1700,1500,1400,1300
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Liberia,,1000,1000,1000,1000,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Libya,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Lithuania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Luxembourg,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Madagascar,,200,200,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Malawi,,5600,5500,5200,4900,4600
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Malaysia,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Maldives,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mali,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Malta,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mauritania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mauritius,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mexico,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mongolia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Montenegro,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Morocco,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Mozambique,,25000,24000,23000,23000,22000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Myanmar,,2800,2600,2500,2300,2100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Namibia,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Nepal,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Netherlands,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,NewZealand,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Nicaragua,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Niger,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Nigeria,,10000,10000,10000,10000,10000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,NorthMacedonia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Norway,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Oman,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Pakistan,,1000,1000,1100,1100,1200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Panama,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,PapuaNewGuinea,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Paraguay,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Peru,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Philippines,,1700,1900,2100,2400,2600
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Poland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Portugal,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Qatar,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,RepublicofKorea,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,RepublicofMoldova,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Romania,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,RussianFederation,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Rwanda,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SaudiArabia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Senegal,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Serbia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SierraLeone,,1200,1200,1100,1100,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Singapore,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Slovakia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Slovenia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Somalia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SouthAfrica,,49000,44000,39000,35000,31000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SouthSudan,,1600,1600,1600,1600,1600
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Spain,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SriLanka,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Sudan,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Suriname,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Sweden,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Switzerland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,SyrianArabRepublic,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Tajikistan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Thailand,,1600,1300,1100,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Timor-Leste,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Togo,,1000,1000,1000,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,TrinidadandTobago,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Tunisia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Turkey,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Turkmenistan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Uganda,,10000,9800,9300,8600,8200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Ukraine,,500,500,500,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,UnitedArabEmirates,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,UnitedKingdom,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,UnitedRepublicofTanzania,,12000,12000,11000,11000,10000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,UnitedStates,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Uruguay,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Uzbekistan,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Venezuela(BolivarianRepublicof),,1100,1100,1100,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,VietNam,,500,500,500,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Yemen,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Zambia,,9600,9300,9400,9300,8700
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Zimbabwe,,7100,6700,6200,5500,5400
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Global,,210000,200000,190000,180000,170000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Afghanistan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Albania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Algeria,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Angola,,3200,3200,3300,3400,3400
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Argentina,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Armenia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Australia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Austria,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Azerbaijan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bahamas,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bahrain,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bangladesh,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Barbados,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Belarus,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Belgium,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Belize,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Benin,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bhutan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bolivia(PlurinationalStateof),,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,BosniaandHerzegovina,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Botswana,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Brazil,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,BruneiDarussalam,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Bulgaria,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,BurkinaFaso,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Burundi,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,CaboVerde,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Cambodia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Cameroon,,3000,2800,2600,2300,2100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Canada,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,CentralAfricanRepublic,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Chad,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Chile,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,China,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Colombia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Comoros,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Congo,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,CostaRica,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Croatia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Cuba,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Cyprus,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Czechia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,C̫ted'Ivoire,,1300,1300,1100,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,DemocraticPeople'sRepublicofKorea,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,DemocraticRepublicoftheCongo,,3500,3400,3200,2900,2700
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Denmark,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Djibouti,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,DominicanRepublic,,500,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Ecuador,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Egypt,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,ElSalvador,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,EquatorialGuinea,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Eritrea,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Estonia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Eswatini,,1500,1300,1100,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Ethiopia,,1900,1800,1700,1600,1500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Fiji,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Finland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,France,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Gabon,,500,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Gambia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Georgia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Germany,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Ghana,,1900,1900,1900,1900,1900
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Greece,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Guatemala,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Guinea,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Guinea-Bissau,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Guyana,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Haiti,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Honduras,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Hungary,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Iceland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,India,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Indonesia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Iran(IslamicRepublicof),,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Ireland,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Israel,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Italy,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Jamaica,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Japan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Jordan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Kazakhstan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Kenya,,7000,6300,5800,5300,5300
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Kuwait,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Kyrgyzstan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,LaoPeople'sDemocraticRepublic,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Latvia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Lebanon,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Lesotho,,1500,1400,1300,1200,1100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Liberia,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Libya,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Lithuania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Luxembourg,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Madagascar,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Malawi,,5000,4900,4600,4400,4100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Malaysia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Maldives,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mali,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Malta,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mauritania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mauritius,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mexico,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mongolia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Montenegro,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Morocco,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Mozambique,,20000,20000,19000,18000,18000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Myanmar,,1500,1400,1300,1200,1100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Namibia,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Nepal,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Netherlands,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,NewZealand,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Nicaragua,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Niger,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Nigeria,,7200,7100,7100,7100,7100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,NorthMacedonia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Norway,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Oman,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Pakistan,,500,500,500,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Panama,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,PapuaNewGuinea,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Paraguay,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 Females,,Peru,,100,100,100,100,100
